Name,Team,G,PA,H,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Ichiro Suzuki,- - -,2583,10594,3057,116,1408,769,508,6.00%,10.00%,0.092,0.339,0.312,0.355,0.403,0.329,104,95.9,158.4,66.8,57.9,1101
Richie Ashburn,- - -,2189,9736,2574,29,1322,586,234,12.30%,5.90%,0.074,0.327,0.308,0.396,0.382,0.362,115,15.8,193.2,59.5,57.4,1000335
John Olerud,- - -,2234,9063,2239,255,1139,1230,11,14.10%,11.20%,0.17,0.309,0.295,0.398,0.465,0.377,130,-19.6,322.1,-45.3,57.3,1093
Jackie Robinson,Dodgers,1382,5802,1518,137,947,734,197,12.80%,5.00%,0.162,0.31,0.311,0.409,0.474,0.406,135,29.7,285.8,93.7,57.2,1011070
Bobby Bonds,- - -,1849,8090,1886,332,1258,1024,460,11.30%,21.70%,0.203,0.31,0.268,0.353,0.471,0.368,130,28.9,303.9,-34.6,57.1,1001157
Bob Johnson,- - -,1863,8047,2051,288,1239,1283,96,13.40%,10.60%,0.21,0.305,0.296,0.393,0.506,0.411,133,-11.8,339.6,-54.2,57,1006428
Bill Terry,Giants,1721,7111,2193,154,1120,1078,56,7.60%,6.30%,0.165,0.35,0.341,0.393,0.506,0.407,137,7.8,356.5,4.1,57,1012927
Fred McGriff,- - -,2460,10174,2490,493,1349,1550,72,12.80%,18.50%,0.225,0.309,0.284,0.377,0.509,0.383,134,-8.6,409.1,-186.3,56.9,293
Jimmy Sheckard,- - -,2122,9118,2084,56,1296,813,465,12.40%,10.00%,0.104,0.282,0.274,0.375,0.378,0.368,121,21.9,266.2,-27.1,56.7,1011843
Robin Ventura,- - -,2079,8271,1885,294,1006,1182,24,13.00%,14.30%,0.177,0.281,0.267,0.362,0.444,0.351,113,-14.2,124.9,169.6,56.7,854
Sal Bando,- - -,2019,8288,1790,242,982,1039,75,12.40%,11.10%,0.155,0.26,0.254,0.352,0.408,0.346,121,-0.3,194.4,70.4,56.2,1000505
Lance Berkman,- - -,1879,7814,1905,366,1146,1234,86,15.40%,16.60%,0.243,0.315,0.293,0.406,0.537,0.4,144,-12,421.3,-108.9,56.1,548
Bill Dickey,Yankees,1789,7060,1969,202,930,1209,37,9.60%,4.10%,0.173,0.304,0.313,0.382,0.486,0.396,126,-8,247.3,72.7,56.1,1003271
Jeff Kent,- - -,2298,9537,2461,377,1320,1518,94,8.40%,16.00%,0.21,0.311,0.29,0.356,0.5,0.367,123,-19.8,259.7,1.2,56.1,1119
Elmer Flick,- - -,1483,6414,1752,48,950,756,330,9.30%,,0.132,,0.313,0.389,0.445,0.399,145,16.4,365.4,-41.8,56,1004158
Stan Hack,Cubs,1938,8506,2193,57,1239,642,165,12.80%,5.50%,0.096,0.316,0.301,0.394,0.397,0.375,124,28.3,269.5,16.3,55.8,1005183
Willie Keeler,- - -,2123,9594,2932,33,1719,810,495,5.50%,1.70%,0.073,0.375,0.341,0.388,0.415,0.383,124,13.3,345,-78.5,55.7,1006747
Ron Cey,- - -,2073,8344,1868,316,977,1139,24,12.10%,14.80%,0.184,0.273,0.261,0.354,0.445,0.356,123,-5.8,208.4,46.5,55.6,1002108
Joe Tinker,- - -,1804,7145,1687,31,774,782,336,5.80%,5.40%,0.091,0.297,0.262,0.308,0.353,0.319,96,25.6,-6.4,288.7,55.5,1013075
Luis Gonzalez,- - -,2591,10531,2591,354,1412,1439,128,11.00%,11.60%,0.196,0.291,0.283,0.367,0.479,0.364,118,-19.4,229,-13.8,55.2,55
Billy Herman,- - -,1922,8641,2345,47,1163,839,67,8.50%,5.00%,0.103,0.318,0.304,0.367,0.407,0.361,115,9.6,164.9,117.4,55,1005692
Joe Kelley,- - -,1853,8120,2220,65,1421,1194,443,11.20%,5.90%,0.134,0.358,0.317,0.402,0.451,0.405,130,16,393.4,-67.7,54.9,1006776
Brian Giles,- - -,1847,7836,1897,287,1121,1078,109,15.10%,10.70%,0.212,0.294,0.291,0.4,0.502,0.388,136,17.9,384.8,-80.8,54.9,990
Harry Stovey,- - -,1486,6832,1771,122,1492,908,509,9.70%,9.40%,0.173,0.294,0.289,0.361,0.461,0.38,132,51.9,379.1,-27.7,54.9,1012586
Todd Helton,Rockies,2247,9453,2519,369,1401,1406,37,14.10%,12.40%,0.223,0.33,0.316,0.414,0.539,0.405,132,-35.5,354.1,-99.8,54.8,432
Ken Boyer,- - -,2034,8268,2143,282,1104,1141,105,8.60%,12.30%,0.174,0.299,0.287,0.349,0.462,0.355,116,-6,151.4,105.7,54.8,1001283
Joe Medwick,- - -,1984,8142,2471,205,1198,1383,42,5.40%,6.80%,0.181,0.329,0.324,0.362,0.505,0.393,133,5,334.7,-35.3,54.6,1008719
Norm Cash,- - -,2089,7910,1820,377,1046,1103,43,13.20%,13.80%,0.217,0.273,0.271,0.374,0.488,0.382,139,-0.4,354.3,-72.9,54.6,1002043
